h3,District,DS,GN,population_2020,schools,gas_stations,pharmacies,banks,supermarkets,poi_count,population_2020_score,bank_user_cx_score,beauty_cx_score,clothing_outlet_score,eat_out_seeker_cx_score,health_fitness_conscious_cx_score,insurance_cx_score,interest_in_property_cx_score,interest_in_vehicle_cx_score,interest_in_movie_cx_score,interest_in_music_cx_score,online_shopper_cx_score,overseas_travellers_cx_score,post_arpu_derived_score,prepaid_arpu_derived_score,selfcare_score,smart_phone_user_cx_score,social_media_cx_score,supermarket_cx_score,poi_count_score,cx_during_daytime_score,score,norm_score,rank
88611c1243fffff,Gampaha,Mirigama,Hakwadunna,1177.914039,0,0,0,0,0,0,0.128142122,0.033418463,0.011014493,0.00651668,0.022403004,0.0094451,0.039861704,0.03006012,0.037315184,0.015973378,0.018626111,0.02168328,0.014534191,0.171290787,0.45300842,0.016638935,0.029277363,0.030080168,0.018636801,0,0.053731864,0.771078131,0.250645613,2
88611c81a9fffff,Gampaha,Dompe,Meddegama,933.5183058,0,2,0,0,0,2,0.101554963,0.091908559,0.045507246,0.017843289,0.034042553,0.041322314,0.103315029,0.033066132,0.079558789,0.051913478,0.072197539,0.07327099,0.03645461,0.099401444,0.471689065,0.053577371,0.110403355,0.103738894,0.043748359,0.057142857,0.053682784,0.773536689,0.251444788,2
88611c80c9fffff,Colombo,Hanwella,Akaravita,688.3405557,1,0,0,0,0,1,0.027458187,0.006639365,0.003384292,0.001565192,0.001964141,0.00929692,0.011688517,0.00476788,0.009474028,0.005216484,0.009571476,0.006003431,0.00377088,0,0.428420046,0.005616926,0.010515418,0.011349879,0.003149652,0.022222222,0.013945761,0.481250107,0.142014248,1
88611c96cbfffff,Kalutara,Horana,Gurugoda,391.8226142,0,0,0,0,0,0,0.039845271,0.0711351,0.037015276,0.063405367,0.026228374,0.114811365,0.071936248,0.067102397,0.070154291,0.06557377,0.054536772,0.050299275,0.024390244,0.102398115,0.387213034,0.034200969,0.051306152,0.055673394,0.039683223,0,0.060177612,0.569139642,0.178749881,1
8861034947fffff,Colombo,Homagama,Diyagama East,1022.98077,0,0,0,0,0,0,0.040807123,0.014209481,0.011203174,0.005408769,0.005315794,0.036955259,0.017216869,0.05966123,0.022868344,0.006051122,0.009936799,0.010627191,0.004659832,0.111399577,0.38109314,0.010597266,0.015980194,0.016916724,0.009391164,0,0.013927458,0.542691003,0.160145117,1
886103526dfffff,Kalutara,Walallawita,Pannila South,201.3693815,0,0,0,0,0,0,0.020477678,0.023255189,0.013513514,0.007361672,0.009204152,0.006986493,0.027568383,0.011982571,0.023866924,0.027322404,0.026456543,0.030767615,0.017837641,0.054823953,0.538355961,0.019975787,0.039016085,0.038118902,0.010501851,0,0.060102374,0.624159444,0.196029969,1
88611c8661fffff,Colombo,Homagama,Nawalamulla,970.9130524,0,0,0,2,0,2,0.03873012,0.015003723,0.00863578,0.004164273,0.006234796,0.019000581,0.015558364,0.045169385,0.011760862,0.008242045,0.01274979,0.010664479,0.005520109,0.125169434,0.398844714,0.01055982,0.017204591,0.01808414,0.009159997,0.044444444,0.013889781,0.616348708,0.181881099,1
88611c8dabfffff,Gampaha,Minuwangoda,Korase,1237.682998,0,0,0,0,0,0,0.134644227,0.010090943,0.017565217,0.008223429,0.005882353,0.013459268,0.011592434,0.02244489,0.027998123,0.017737105,0.011278195,0.009043264,0.014152966,0.061466059,0.511559694,0.01031614,0.016913612,0.015919421,0.007524718,0,0.053371814,0.715194699,0.23248022,2
88611c94abfffff,Colombo,Padukka,Horakandawala,1369.133448,0,0,0,0,0,0,0.054615295,0.016617027,0.00851908,0.005121578,0.006901523,0.022254503,0.013583952,0.021329987,0.013612109,0.011789254,0.020275454,0.017711984,0.009104595,0.044185463,0.463094574,0.017562254,0.026441594,0.028623314,0.009391164,0,0.013862035,0.571286496,0.168583489,1
88611c1095fffff,Gampaha,Divulapitiya,Palliyapitiya East,689.1345193,0,0,0,0,0,0,0.074969104,0.046810764,0.01457971,0.017377812,0.0140801,0.0270366,0.038438072,0.020741483,0.034968317,0.020299501,0.03810663,0.034837118,0.012151537,0.070538342,0.506340267,0.030171936,0.051156258,0.050316333,0.018724298,0,0.053344089,0.670572011,0.217975229,2
